"gene_name","one_cell.ribo","two_cell.ribo","four_cell.ribo","eight_cell.ribo","one_cell.rna","two_cell.rna","four_cell.rna","eight_cell.rna","WT_one_cell_TE","WT_two_cell_TE","WT_four_cell_TE","WT_eight_cell_TE"
"C02F5.12",-1.88668240558841,-1.42499825208852,-1.22585847941945,-1.54403672481043,0.0929888609444822,-0.492390613456864,-0.116255460278701,0.180202476025877,-1.97967126653289,-0.932607638631654,-1.10960301914075,-1.72423920083631
"C02F5.13",0.99591314580401,0.763411764808402,0.416614981224418,0.452195905815299,-0.588058691025633,-0.314142951731988,-0.425723647697923,-0.249590321882919,1.58397183682964,1.07755471654039,0.842338628922342,0.701786227698218
"C02F5.3",-1.26030092134073,-1.5765322029811,-1.185228747045,-1.60246400937066,0.00723244913826716,0.372666936421453,0.0371052363076925,0.346559911130317,-1.267533370479,-1.94919913940255,-1.2223339833527,-1.94902392050098
"C03A3.2",-2.0305234418143,-1.83393705727639,-1.81207362345502,-1.86592430729725,-0.654917242337213,-0.603079843268916,-0.889913171561774,-0.5304429631693,-1.37560619947709,-1.23085721400747,-0.922160451893244,-1.33548134412795
"C03B1.7",-1.33737626125436,-0.90513786666856,-2.15864721373499,-1.33590287413688,-1.77787987674569,-1.88612448222865,-1.43161451462127,-1.69517937591263,0.440503615491336,0.980986615560094,-0.727032699113716,0.359276501775753
"C03H12.1",-0.931911153146193,-1.95255155217517,-1.19951835050499,-1.77755775684144,-1.4113513948028,-1.31452500619801,-1.46486671720843,-1.60962396146168,0.479440241656606,-0.638026545977155,0.265348366703437,-0.167933795379759
"C03H5.3",-1.13464370720028,-0.943675536625374,-1.22749782955599,-0.583971584658004,1.97776510514575,1.87675321973163,1.88261142613566,2.0684824763822,-3.11240881234603,-2.820428756357,-3.11010925569165,-2.65245406104021
"C04A11.2",-2.57982958614836,-1.41544294888347,-0.931823978086324,-0.923179188788763,-1.79292709530062,-2.75368771071011,-2.4576468941558,-2.08901269207059,-0.78690249084774,1.33824476182665,1.52582291606948,1.16583350328183
"C04B4.2",-1.13464370720028,-1.66626847609942,-1.95340207571753,-2.18781188978407,0.660125798951649,0.78514429166718,0.292864273510515,-0.0621517731824654,-1.79476950615192,-2.4514127677666,-2.24626634922805,-2.1256601166016
"C04E6.11",-1.13464370720028,-1.95255155217517,-2.93140782707457,-2.54616378362968,1.30458004397099,0.664005334378958,0.0770289022786654,-1.10558939224485,-2.43922375117127,-2.61655688655412,-3.00843672935323,-1.44057439138483
"C04F12.1",0.598224244199588,0.190976818242064,-0.0527518216731169,-0.409234661545924,0.600931708798084,0.321466800473353,0.476655032533684,0.391839911972598,-0.00270746459849636,-0.130489982231289,-0.529406854206801,-0.801074573518522
"C04F5.8",-1.77511062993131,-1.60486437430785,-1.31997787222817,-0.595073488887937,-0.0874439961539122,0.140628866401718,-0.00383017076048473,0.20735097400694,-1.6876666337774,-1.74549324070957,-1.31614770146769,-0.802424462894876
"C04F5.9",-1.54010881530844,-1.06499331196951,-0.999744410862659,-0.600336950551411,-0.678706119961269,-0.586674581052675,-1.251758374776,-0.781950280564171,-0.861402695347171,-0.47831873091683,0.252013963913346,0.181613330012759
"C04G6.4",-2.23325599586838,-1.26849628265794,-1.51566770704058,-1.56759333194171,-0.530418326294851,-0.748301990810664,-0.868906053047882,-0.37214205177521,-1.70283766957353,-0.520194291847276,-0.646761653992701,-1.1954512801665
"C05C10.2",2.23232171902079,2.14464248605644,2.13675992150407,2.14461534032248,0.849250049642489,0.413932529645956,0.953507402377702,0.769191035781329,1.3830716693783,1.73070995641048,1.18325251912636,1.37542430454115
"C05C10.3",-0.00899780789702784,-0.413609652575351,0.35551221927246,0.447974655994374,1.08618512170947,1.21116182215416,0.898814397731541,0.94533760638406,-1.0951829296065,-1.62477147472951,-0.543302178459081,-0.497362950389685
"C05C10.5",1.88455686411377,2.70354936017638,2.62668327786931,2.64429611897793,3.02318222193668,1.90957185644852,2.58647646449027,2.58819809278631,-1.13862535782291,0.793977503727859,0.0402068133790432,0.0560980261916209
