,P0,AB,P1,ABa,ABp,EMS,P2,ABal,ABar,ABpl,ABpr,MS,E,C,P3,ABalx,ABarx,ABplx,ABprx,MSx,Ex,Cx,D,P4,1-cell,2-cell,4-cell,8-cell,16-cell
npax-3,0,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,0,0,0
npax-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3375,0,0,0,0,0,0,0,0,0.045
nph-1,0,0,0,0,1.206,0,0,0,0,2,0.056,0,0,14.098,0,0,2.79,0,0,0,0,0,0,0,0,0,0.3015,2.071025641,0.372
nph-4,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0.498,0,0,0.013333333,0,0,0,0,0.138181818,0,0,1.18,0,0,0.063846154,0.018666667
npl-4.1,49.052,36.47,48.212,37.246,29.036,41.436,46.468,29.284,51.362,21.108,30.504,84.2975,39.474,42.7,107.634,52.293,39.4475,47.21545455,45.18583333,52.37416667,21.015,40.67,57.12166667,42.135,49.052,42.341,38.5465,49.93641026,43.77166667
npl-4.2,51.918,35.166,50.408,11.002,14.668,14.09,57.68,2.64,2.624,2.618,13.516,11.63,8.79,7.57,90.478,3.647,5.298333333,15.67090909,11.28166667,0.326666667,42.444,2.083636364,31.82333333,106.4983333,51.918,42.787,24.36,17.63333333,18.76688889
npp-1,165.396,186.312,117.366,167.386,141.432,172.64,131.854,180.136,270.422,226.626,166.604,279.695,138.356,103.478,80.858,270.088,347.5275,306.5127273,270.7075,222.6333333,172.18,291.3290909,15.69,244.96,165.396,151.839,153.328,178.2353846,251.7028889
npp-10,68.364,120.14,102.076,139.642,137.004,149.44,64.16,139.916,134.812,159.218,162.458,96.785,180.404,58.076,48.87,139.696,168.2541667,116.2154545,101.4608333,84.18833333,63.143,74.95454545,216.6033333,118.3016667,68.364,111.108,122.5615,123.2284615,115.417
npp-11,102.394,89.326,74.11,122.962,120.154,102.338,62.694,171.32,136.402,148.57,89.362,235.785,97.946,141.664,77.944,137.67,214.8583333,98.51272727,134.6358333,87.85083333,164.609,90.34363636,30.55333333,43.31833333,102.394,81.718,102.037,134.8507692,119.9064444
npp-12,81.692,78.154,66.228,73.426,83.334,85.012,92.892,34.71,23.78,29.352,24.56,41.815,17.9,79.676,55.928,6.483,8.751666667,5.000909091,10.1075,14.0475,6.412,24.89818182,34.16166667,41.98666667,81.692,72.191,83.666,38.37923077,14.55122222
